Log File Information
Timestamp,20250411_132359
Port,/dev/ttyACM0
Baud Rate,115200

Time(ms) (s),Heading(°) (degrees),WindDir(°),WindSpd(mph),Lat,Lon,Sat,Rudder(°),Sail(°),Status
176377,56.1,4.0,0.0,52.486202,-1.889228,8,45.0,16.0,OK
177405,56.1,4.0,0.0,52.486214,-1.889242,8,45.0,16.0,OK
178432,56.1,4.0,0.0,52.486225,-1.889256,8,45.0,16.0,OK
179454,56.1,4.0,0.0,52.486233,-1.889270,8,45.0,16.0,OK
180480,56.1,4.0,0.0,52.486240,-1.889284,8,45.0,16.0,OK
181506,56.1,4.0,0.0,52.486252,-1.889298,8,45.0,16.0,OK
182530,56.1,4.0,0.0,52.486263,-1.889312,8,45.0,16.0,OK
183555,56.1,4.0,0.0,52.486271,-1.889326,8,135.0,16.0,OK
184581,56.1,4.0,0.0,52.486259,-1.889335,8,135.0,16.0,OK
185606,56.2,4.0,0.0,52.486248,-1.889344,8,135.0,16.0,OK
186634,56.1,4.0,0.0,52.486237,-1.889353,8,135.0,16.0,OK
187660,56.1,4.0,0.0,52.486225,-1.889362,8,135.0,16.0,OK
188685,56.1,4.0,0.0,52.486214,-1.889371,8,135.0,16.0,OK
189711,56.1,4.0,0.0,52.486202,-1.889380,8,135.0,16.0,OK
190737,56.2,4.0,0.0,52.486191,-1.889389,8,135.0,16.0,OK
191762,56.1,4.0,0.0,52.486179,-1.889398,8,135.0,16.0,OK
192787,56.1,4.0,0.0,52.486168,-1.889407,8,135.0,16.0,OK
193813,56.1,4.0,0.0,52.486156,-1.889417,8,135.0,16.0,OK
194839,56.1,4.0,0.0,52.486145,-1.889426,8,135.0,16.0,OK
195868,56.1,4.0,0.0,52.486134,-1.889435,8,135.0,16.0,OK
196894,56.1,4.0,0.0,52.486122,-1.889444,8,135.0,16.0,OK
197919,56.1,4.0,0.0,52.486111,-1.889453,8,135.0,16.0,OK
198945,56.1,4.0,0.0,52.486099,-1.889462,8,135.0,16.0,OK
199972,56.1,4.0,0.0,52.486088,-1.889470,8,135.0,16.0,OK
200997,56.2,4.0,0.0,52.486076,-1.889479,8,135.0,16.0,OK
202024,56.1,4.0,0.0,52.486065,-1.889488,8,106.8,16.0,OK
203053,56.2,4.0,0.0,52.486065,-1.889467,8,106.7,16.0,OK
204072,56.2,4.0,0.0,52.486065,-1.889446,8,106.9,16.0,OK
205103,56.2,4.0,0.0,52.486065,-1.889425,8,106.7,16.0,OK
206136,56.2,4.0,0.0,52.486065,-1.889403,8,106.9,16.0,OK
207157,56.1,4.0,0.0,52.486065,-1.889383,8,107.0,16.0,OK
208176,56.1,4.0,0.0,52.486065,-1.889362,8,107.0,16.0,OK
209205,56.1,4.0,0.0,52.486065,-1.889340,8,106.8,16.0,OK
210232,56.2,4.0,0.0,52.486065,-1.889320,8,106.7,16.0,OK
211266,56.2,4.0,0.0,52.486065,-1.889298,8,106.9,16.0,OK
212293,56.2,4.0,0.0,52.486065,-1.889277,8,106.7,16.0,OK
213314,56.2,4.0,0.0,52.486065,-1.889256,8,106.9,16.0,OK
214349,49.4,4.0,0.0,52.486065,-1.889235,8,110.3,2.0,OK
