Log File Information
Timestamp,20250412_140035
Port,/dev/ttyACM0
Baud Rate,115200

Time(ms) (s),Heading(°) (degrees),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,Sat,Rudder(°),Sail(°),TargetSail(°),Status
69558,45.10,270.00,224.90,4.32,52.484096,-1.889280,10,0.00,355.62,68.14,180.00,180.00,OK
70583,45.10,275.00,229.90,4.32,52.484096,-1.889280,10,0.00,355.62,68.14,172.00,172.00,OK
71621,45.20,275.00,229.80,4.32,52.484096,-1.889280,10,0.00,355.62,68.09,172.00,172.00,OK
72649,45.10,275.00,229.90,4.32,52.484096,-1.889280,10,0.00,355.62,68.14,172.00,172.00,OK
73688,45.10,275.00,229.90,4.32,52.484096,-1.889280,10,0.00,355.62,68.14,172.00,172.00,OK
74737,45.10,275.00,229.90,4.32,52.484096,-1.889280,10,0.00,355.62,68.14,172.00,172.00,OK
75777,45.10,275.00,229.90,4.32,52.484096,-1.889280,10,0.00,355.62,68.14,172.00,172.00,OK
76815,45.10,275.00,229.90,4.32,52.484096,-1.889280,10,0.00,355.62,68.14,172.00,172.00,OK
77839,45.10,275.00,229.90,4.32,52.484096,-1.889280,10,0.00,355.62,68.14,172.00,172.00,OK
78868,45.10,275.00,229.90,3.36,52.484096,-1.889280,10,0.00,355.62,68.14,172.00,172.00,OK
79930,45.10,275.00,229.90,3.36,52.484096,-1.889280,10,0.00,355.62,68.14,172.00,172.00,OK
80956,45.10,275.00,229.90,3.36,52.484096,-1.889280,10,0.00,355.62,68.14,172.00,172.00,OK
81994,45.10,275.00,229.90,3.36,52.484096,-1.889280,10,0.00,355.62,68.14,172.00,172.00,OK
83033,45.10,275.00,229.90,3.36,52.484096,-1.889280,10,0.00,355.62,68.14,172.00,172.00,OK
84075,45.10,276.00,230.90,3.36,52.484096,-1.889280,10,0.00,355.62,68.14,170.00,170.00,OK
85136,45.10,276.00,230.90,3.36,52.484096,-1.889280,10,0.00,355.62,68.14,170.00,170.00,OK
86174,45.10,276.00,230.90,3.36,52.484096,-1.889280,10,0.00,355.62,68.14,170.00,170.00,OK
87212,45.10,276.00,230.90,3.36,52.484096,-1.889280,10,0.00,355.62,68.14,170.00,170.00,OK
88263,45.10,276.00,230.90,2.88,52.484096,-1.889280,10,0.00,355.62,68.14,170.00,170.00,OK
89288,45.10,342.00,296.90,2.88,52.484096,-1.889280,10,0.00,355.62,68.14,38.00,38.00,OK
90340,45.10,341.00,295.90,2.88,52.484096,-1.889280,10,0.00,355.62,68.14,40.00,40.00,OK
91377,45.10,340.00,294.90,2.88,52.484096,-1.889280,10,0.00,355.62,68.14,42.00,42.00,OK
92416,45.10,339.00,293.90,2.88,52.484085,-1.889295,10,1.48,223.95,68.19,44.00,44.00,OK
93466,45.10,339.00,293.90,3.84,52.484085,-1.889298,10,0.00,214.95,68.21,44.00,44.00,OK
94505,45.10,338.00,292.90,3.84,52.484085,-1.889297,10,0.00,204.97,68.20,46.00,46.00,OK
