Time(ms)(s),Heading(°),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,GpsStat,GpsSpeed,GpsCourse,Rudder(°),Sail(°),TargetSail(°),Status
23710,335.8,159.0,183.2,1.92,52.483966,-1.888957,5,0.57,99.52,45.64,180.0,180.0,OK
23881,231.8,0.0,128.2,5.28,52.483791,-1.889993,9,3.67,316.8,135.0,166.0,166.0,OK
24010,54.8,2.0,307.2,2.88,52.484272,-1.890032,8,4.76,22.52,120.35,16.0,16.0,OK
24212,359.6,14.0,14.4,0.48,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
24698,2.7,303.0,300.3,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,30.0,30.0,OK
24763,332.4,174.0,201.6,1.92,52.483959,-1.88894,5,0.56,120.01,47.81,180.0,180.0,OK
24913,228.6,358.0,129.4,5.28,52.483795,-1.890005,9,1.87,330.61,135.0,168.0,168.0,OK
25043,57.5,0.0,302.5,2.88,52.484287,-1.89003,7,4.91,19.23,119.79,26.0,26.0,OK
25278,359.6,14.0,14.4,0.96,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
25732,2.6,331.0,328.4,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
25794,332.6,175.0,202.4,1.92,52.483947,-1.88893,5,0.19,161.47,48.18,180.0,180.0,OK
25960,207.0,358.0,151.0,5.28,52.483802,-1.890015,9,2.78,317.5,135.0,180.0,180.0,OK
26078,49.8,0.0,310.2,2.88,52.484291,-1.890022,7,3.96,32.89,124.02,10.0,10.0,OK
26314,359.6,14.0,14.4,0.96,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
26760,2.8,332.0,329.2,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
26824,332.6,175.0,202.4,1.92,52.48394,-1.888915,5,0.15,156.33,48.83,180.0,180.0,OK
27010,190.2,7.0,176.8,6.72,52.483806,-1.890023,9,2.19,314.64,135.0,180.0,180.0,OK
27111,48.2,0.0,311.8,2.88,52.484298,-1.890013,7,4.22,30.11,125.29,8.0,8.0,OK
27345,359.6,14.0,14.4,0.96,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
27787,2.8,332.0,329.2,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
27873,332.7,175.0,202.3,1.92,52.483936,-1.888888,5,0.67,75.13,49.17,180.0,180.0,OK
28043,192.6,13.0,180.4,6.72,52.48381,-1.890032,9,2.89,326.62,135.0,180.0,180.0,OK
28161,54.7,0.0,305.3,2.88,52.484306,-1.890007,7,4.26,37.95,122.73,20.0,20.0,OK
28382,359.6,14.0,14.4,0.96,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
28829,2.8,86.0,83.2,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,76.0,76.0,OK
28905,332.7,175.0,202.3,1.92,52.483932,-1.888878,5,0.43,79.71,49.47,180.0,180.0,OK
29072,197.6,6.0,168.4,6.72,52.483821,-1.890042,9,3.74,334.71,135.0,180.0,180.0,OK
29206,71.0,349.0,278.0,3.84,52.484313,-1.889997,9,4.61,38.73,115.08,74.0,74.0,OK
29428,359.6,13.0,13.4,0.96,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
29884,2.7,155.0,152.3,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,180.0,180.0,OK
29970,332.7,175.0,202.3,1.92,52.48394,-1.888882,5,0.5,84.03,49.08,180.0,180.0,OK
30115,230.3,0.0,129.7,6.72,52.483833,-1.890052,9,3.5,324.56,135.0,168.0,168.0,OK
30240,82.7,340.0,257.3,3.84,52.484325,-1.889987,9,4.26,39.09,109.97,116.0,116.0,OK
